"NAME.matrix","CATEGORY","CITY.matrix","STATE.matrix","POSTAL.matrix","COUNTRY.matrix","RATINGS.matrix"
"Cheng's Chopsticks","Chinese","Chicago","IL","60647","US",4
"Chengdu Impression","Chinese","Chicago","IL","60614","US",4
"Chi Cafe","Chinese","Chicago","IL","60616","US",4
"Fat Rice","Chinese","Chicago","IL","60647","US",4
"Go 4 Food","Chinese","Chicago","IL","60616","US",4
"Great Sea Chinese Restaurant","Chinese","Chicago","IL","60625","US",4
"Home Style Taste Chinese","Chinese","Chicago","IL","60608","US",4
"Imperial Lamian","Chinese","Chicago","IL","60654","US",4
"King Garden","Chinese","Chicago","IL","60707","US",4.5
"Lao Sze Chuan","Chinese","Chicago","IL","60611","US",3.5
"Lao Sze Chuan","Chinese","Chicago","IL","60616","US",3.5
"MAK Restaurant","Chinese","Chicago","IL","60622","US",4
"MingHin Cuisine","Chinese","Chicago","IL","60601","US",4
"MingHin Cuisine","Chinese","Chicago","IL","60616","US",4
"Peking Mandarin","Chinese","Chicago","IL","60625","US",4
"Qing Xiang Yuan Dumpling","Chinese","Chicago","IL","60616","US",4
"Shanghai Inn","Chinese","Chicago","IL","60625","US",4
"Shanghai Terrace at The Peninsula Chicago","Chinese","Chicago","IL","60611","US",4
"Sun Wah Bar-B-Que","Chinese","Chicago","IL","60640","US",4
"Yummy Yummy Asian Cuisine","Chinese","Chicago","IL","60657","US",4
