"NAME.matrix","CATEGORY","CITY.matrix","STATE.matrix","POSTAL.matrix","COUNTRY.matrix","RATINGS.matrix"
"Bombay Wraps","Indian","Chicago","IL","60606","US",4
"Chiya Chai","Indian","Chicago","IL","60647","US",4
"Cumin","Indian","Chicago","IL","60622","US",4
"Curry Point","Indian","Chicago","IL","60613","US",4
"Gaylord Fine Indian Cuisine","Indian","Chicago","IL","60611","US",3.5
"Ghareeb Nawaz","Indian","Chicago","IL","60659","US",4
"Hakka Bakka","Indian","Chicago","IL","60614","US",4
"India House Restaurant","Indian","Chicago","IL","60654","US",3.5
"Jaipur","Indian","Chicago","IL","60607","US",3.5
"Khyber Pass","Indian","Chicago","IL","60657","US",4
"Luzzat","Indian","Chicago","IL","60626","US",4
"Mughal India","Indian","Chicago","IL","60607","US",3.5
"Naansense","Indian","Chicago","IL","60606","US",4
"New Zaika Restaurant","Indian","Chicago","IL","60610","US",4
"Rangoli","Indian","Chicago","IL","60647","US",4
"Royal Indian Grill","Indian","Chicago","IL","60657","US",3.5
"Ryhana's Cuisine","Indian","Chicago","IL","60612","US",4.5
"Sabri Nihari Restaurant","Indian","Chicago","IL","60659","US",3.5
"Tandoor Char House","Indian","Chicago","IL","60614","US",4
"The Indian Garden","Indian","Chicago","IL","60611","US",3.5
